,Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation,,Star_name,Distance,Mass,Radius,Luminosity
116,116,2MASSW J1155395-372735,31.0,6.576832,0.000954588,2002.0,Centaurus,48,Alphard,0180,3.0,50,780
120,120,2MASSI J1217110-031113,36.0,4.316046,0.00089731272,1999.0,Virgo,49,Mintaka,01200,24,16.5,"190,000"
123,123,2M 1237,45.6,4.213283,0.00089731272,2003.0,Draco,50,Scheat,0196,2.1,95,"1,500"
126,126,SDSSp J125453.90-012247.4,38.0,4.829860999999999,0.00093549624,2000.0,Virgo,51,Almaaz,0653,15,140,"43,000"
127,127,Ke,61.0,6.474068999999999,0.00093549624,1997.0,Hydra,52,Rasalgethi,0360,2.8,280,"8,300"
128,128,Ke,61.0,5.960254,0.00093549624,1997.0,Hydra,53,Tau Ceti,011.9,0.783,0.893,0.52
130,130,SDSSp J132629.82-003831.5,65.0,5.240913,0.00092595036,2000.0,Virgo,54,Delta Pavonis,019.92,0.991,1.22,1.22
131,131,SDSSp J134646.45-003150.4,48.0,4.521572,0.00089731272,2000.0,Virgo,55,Ran,010.48,0.82,0.74,0.34
134,134,SDSS J141659.78+500626.4,149.0,6.063016999999999,0.0009450421200000001,2006.0,Boötes,56,V382 Carinae,"08,900",20,485,"212,000"
135,135,DENIS-P J142527.97-365023.4,38.0,2.158023,0.00126005616,2004.0,Centaurus,57,Eta Carinae,"07,500",100,60–881,"5,000,000"
139,139,2MASS J14482563+1031590,47.0,6.063016999999999,0.0009450421200000001,2003.0,Boötes,58,Delta Cephei,0887,4.5,44.5,"2,000"
140,140,CFBDSIR 145,104.0,1.1406692999999999,0.001431882,2010.0,Boötes,59,Mu Cephei,"06,000",19.2,972,"135,000"
141,141,CFBDSIR 145,104.0,0.9248669999999999,0.0012409644000000001,2010.0,Boötes,60,Titawin,044.25,1.27,1.48,3.57
143,143,2MASS 1503,20.7,4.521572,0.00089731272,2003.0,Boötes,61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
145,145,2MASSW J1506544+132106,46.0,7.090647,0.0009736797600000001,2000.0,Boötes,62,P Cygni,"05,545",30,76,"610,000"
146,146,2MASS 1507,23.9,6.16578,0.0009450421200000001,2000.0,Libra,63,La Superba,"01,000",,129 - 342,"2,472 - 5,800"
149,149,2MASSW J1515008+484742,34.0,5.857491,0.0009450421200000001,2003.0,Boötes,64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
150,150,2MASSI J1526140+204341,67.0,5.549201999999999,0.00093549624,2000.0,Serpens,65,61 Cygni,011.41,0.7,0.665,0.153
151,151,DENIS-P J153941.96-052042.4,51.0,6.474068999999999,0.000954588,2004.0,Libra,66,R Doradus,0178,0.7 - 1.0,298,"4,350"
152,152,2MASS J15462718-3325111,37.0,4.521572,0.00089731272,2002.0,Lupus,67,Polaris Australis,0281,1.59,3.74,38
153,153,2MASSW J1552591+294849,68.0,3.08289,0.00136506084,2003.0,Corona Borealis,68,R Coronae Borealis,"04,566",0.85,85,"10,000"
154,154,2MASSW J1555157-095605,44.0,7.296173,0.0009832256400000002,2002.0,Libra,69,54 Piscium,036.1,0.76,0.94,0.52
155,155,2MASS J16150413+1340079,48.0,4.316046,0.00089731272,2007.0,Hercules,70,Mira,0300,1.2,370,"9,000"
156,156,SDSSp J162414.37+002915.6,36.0,4.4188089999999995,0.00089731272,1999.0,Serpens,71,RW Cephei,"014,000",13.9,"1,158","417,000"
157,157,2MASS J16262034+3925190,110.0,7.296173,0.0009832256400000002,2004.0,Hercules,72,Lacaille 8760,012.87,0.6,0.51,0.072
158,158,2MASSW J1632291+190441,50.0,5.035387,0.00092595036,1999.0,Hercules,73,V838 Monocerotis,"019,896",?,380 - 750,"15,000"
160,160,LSPM J1658+7027,60.0,7.5016989999999995,0.00099277152,2000.0,Draco,74,HD 140283,0190,?,1.4,3.83
165,165,LSR J1835,18.5,7.912750999999999,0.00102140916,2003.0,Lyra,75,II Pegasi,0130,0.8,3.4,1.06
173,173,PSO J318,80.0,0.6679594999999999,0.00146051964,2013.0,Capricornus,76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
181,181,2MASS J22282889-43,35.0,4.316046,0.00089731272,2013.0,Grus,77,Pistol Star,"025,000",100,320,"1,700,000"
225,225,WISE 0410,20.0,0.616578,0.00111686796,2010.0,Taurus,78,S Doradus,"0169,000",24,380,"910,000"
229,229,WISE 0458+,35.9,1.541445,0.0040092696,2010.0,Camelopardalis,79,UY Scuti,"05,100",7–10,755,"86,300 - 87,100"
230,230,WISE 0458+,35.9,1.0276299999999998,0.0036274344,2010.0,Camelopardalis,80,Barnard's Star,05.98,0.14,0.20,0.0035
284,284,WISE 1405,25.3,3.08289,0.00082094568,2010.0,Ursa Major,81,Luhman 16,06.52,0.04,?,?
